"","book","chapter","verse","text"
"30","Genesis","1","30","And to all the beasts of the earth and all the birds in the sky and all the creatures that move along the ground—everything that has the breath of life in it—I give every green plant for food.” And it was so. "
"31","Genesis","1","31","God saw all that he had made, and it was very good. And there was evening, and there was morning—the sixth day."
"32","Genesis","2","1","Thus the heavens and the earth were completed in all their vast array. "
"33","Genesis","2","2","By the seventh day God had finished the work he had been doing; so on the seventh day he rested from all his work.  "
"34","Genesis","2","3","Then God blessed the seventh day and made it holy, because on it he rested from all the work of creating that he had done. "
"35","Genesis","2","4","This is the account of the heavens and the earth when they were created, when the  Lord  God made the earth and the heavens. "
"36","Genesis","2","5","Now no shrub had yet appeared on the earth  and no plant had yet sprung up, for the  Lord  God had not sent rain on the earth and there was no one to work the ground,  "
"37","Genesis","2","6","but streams  came up from the earth and watered the whole surface of the ground.  "
"38","Genesis","2","7","Then the  Lord  God formed a man  from the dust of the ground and breathed into his nostrils the breath of life, and the man became a living being. "
"39","Genesis","2","8","Now the  Lord  God had planted a garden in the east, in Eden; and there he put the man he had formed.  "
"40","Genesis","2","9","The  Lord  God made all kinds of trees grow out of the ground—trees that were pleasing to the eye and good for food. In the middle of the garden were the tree of life and the tree of the knowledge of good and evil. "
"41","Genesis","2","10","A river watering the garden flowed from Eden; from there it was separated into four headwaters.  "
"42","Genesis","2","11","The name of the first is the Pishon; it winds through the entire land of Havilah, where there is gold.  "
"43","Genesis","2","12","(The gold of that land is good; aromatic resin  and onyx are also there.)  "
"44","Genesis","2","13","The name of the second river is the Gihon; it winds through the entire land of Cush.   "
"45","Genesis","2","14","The name of the third river is the Tigris; it runs along the east side of Ashur. And the fourth river is the Euphrates. "
"46","Genesis","2","15","The  Lord  God took the man and put him in the Garden of Eden to work it and take care of it.  "
"47","Genesis","2","16","And the  Lord  God commanded the man, “You are free to eat from any tree in the garden;  "
"48","Genesis","2","17","but you must not eat from the tree of the knowledge of good and evil, for when you eat from it you will certainly die.” "
"49","Genesis","2","18","The  Lord  God said, “It is not good for the man to be alone. I will make a helper suitable for him.” "
"50","Genesis","2","19","Now the  Lord  God had formed out of the ground all the wild animals and all the birds in the sky. He brought them to the man to see what he would name them; and whatever the man called each living creature, that was its name.  "
"51","Genesis","2","20","So the man gave names to all the livestock, the birds in the sky and all the wild animals. But for Adam  no suitable helper was found.  "
"52","Genesis","2","21","So the  Lord  God caused the man to fall into a deep sleep; and while he was sleeping, he took one of the man’s ribs  and then closed up the place with flesh.  "
"53","Genesis","2","22","Then the  Lord  God made a woman from the rib  he had taken out of the man, and he brought her to the man. "
"54","Genesis","2","23","The man said, “This is now bone of my bones and flesh of my flesh; she shall be called ‘woman,’ for she was taken out of man.” "
"55","Genesis","2","24","That is why a man leaves his father and mother and is united to his wife, and they become one flesh. "
"56","Genesis","2","25","Adam and his wife were both naked, and they felt no shame."
"57","Genesis","3","1","Now the serpent was more crafty than any of the wild animals the  Lord  God had made. He said to the woman, “Did God really say, ‘You must not eat from any tree in the garden’?” "
"58","Genesis","3","2","The woman said to the serpent, “We may eat fruit from the trees in the garden,  "
"59","Genesis","3","3","but God did say, ‘You must not eat fruit from the tree that is in the middle of the garden, and you must not touch it, or you will die.’ ” "
"60","Genesis","3","4","“You will not certainly die,” the serpent said to the woman.  "
"61","Genesis","3","5","“For God knows that when you eat from it your eyes will be opened, and you will be like God, knowing good and evil.” "
"62","Genesis","3","6","When the woman saw that the fruit of the tree was good for food and pleasing to the eye, and also desirable for gaining wisdom, she took some and ate it. She also gave some to her husband, who was with her, and he ate it.  "
"63","Genesis","3","7","Then the eyes of both of them were opened, and they realized they were naked; so they sewed fig leaves together and made coverings for themselves. "
"64","Genesis","3","8","Then the man and his wife heard the sound of the  Lord  God as he was walking in the garden in the cool of the day, and they hid from the  Lord  God among the trees of the garden.  "
"65","Genesis","3","9","But the  Lord  God called to the man, “Where are you?” "
"66","Genesis","3","10","He answered, “I heard you in the garden, and I was afraid because I was naked; so I hid.” "
"67","Genesis","3","11","And he said, “Who told you that you were naked? Have you eaten from the tree that I commanded you not to eat from?” "
"68","Genesis","3","12","The man said, “The woman you put here with me—she gave me some fruit from the tree, and I ate it.” "
"69","Genesis","3","13","Then the  Lord  God said to the woman, “What is this you have done?” The woman said, “The serpent deceived me, and I ate.” "
"70","Genesis","3","14","So the  Lord  God said to the serpent, “Because you have done this, “Cursed are you above all livestock and all wild animals! You will crawl on your belly and you will eat dust all the days of your life. "
"71","Genesis","3","15","And I will put enmity between you and the woman, and between your offspring  and hers; he will crush  your head, and you will strike his heel.” "
"72","Genesis","3","16","To the woman he said, “I will make your pains in childbearing very severe; with painful labor you will give birth to children. Your desire will be for your husband, and he will rule over you.” "
"73","Genesis","3","17","To Adam he said, “Because you listened to your wife and ate fruit from the tree about which I commanded you, ‘You must not eat from it,’ “Cursed is the ground because of you; through painful toil you will eat food from it all the days of your life. "
"74","Genesis","3","18","It will produce thorns and thistles for you, and you will eat the plants of the field. "
"75","Genesis","3","19","By the sweat of your brow you will eat your food until you return to the ground, since from it you were taken; for dust you are and to dust you will return.” "
"76","Genesis","3","20","Adam  named his wife Eve,  because she would become the mother of all the living. "
"77","Genesis","3","21","The  Lord  God made garments of skin for Adam and his wife and clothed them.  "
"78","Genesis","3","22","And the  Lord  God said, “The man has now become like one of us, knowing good and evil. He must not be allowed to reach out his hand and take also from the tree of life and eat, and live forever.”  "
"79","Genesis","3","23","So the  Lord  God banished him from the Garden of Eden to work the ground from which he had been taken.  "
"80","Genesis","3","24","After he drove the man out, he placed on the east side  of the Garden of Eden cherubim and a flaming sword flashing back and forth to guard the way to the tree of life."
"81","Genesis","4","1","Adam  made love to his wife Eve, and she became pregnant and gave birth to Cain.  She said, “With the help of the  Lord  I have brought forth  a man.”  "
"82","Genesis","4","2","Later she gave birth to his brother Abel. Now Abel kept flocks, and Cain worked the soil.  "
"83","Genesis","4","3","In the course of time Cain brought some of the fruits of the soil as an offering to the  Lord .  "
"84","Genesis","4","4","And Abel also brought an offering—fat portions from some of the firstborn of his flock. The  Lord  looked with favor on Abel and his offering,  "
"85","Genesis","4","5","but on Cain and his offering he did not look with favor. So Cain was very angry, and his face was downcast. "
"86","Genesis","4","6","Then the  Lord  said to Cain, “Why are you angry? Why is your face downcast?  "
"87","Genesis","4","7","If you do what is right, will you not be accepted? But if you do not do what is right, sin is crouching at your door; it desires to have you, but you must rule over it.” "
"88","Genesis","4","8","Now Cain said to his brother Abel, “Let’s go out to the field.”  While they were in the field, Cain attacked his brother Abel and killed him. "
"89","Genesis","4","9","Then the  Lord  said to Cain, “Where is your brother Abel?” “I don’t know,” he replied. “Am I my brother’s keeper?” "
"90","Genesis","4","10","The  Lord  said, “What have you done? Listen! Your brother’s blood cries out to me from the ground.  "
"91","Genesis","4","11","Now you are under a curse and driven from the ground, which opened its mouth to receive your brother’s blood from your hand.  "
"92","Genesis","4","12","When you work the ground, it will no longer yield its crops for you. You will be a restless wanderer on the earth.” "
"93","Genesis","4","13","Cain said to the  Lord , “My punishment is more than I can bear.  "
"94","Genesis","4","14","Today you are driving me from the land, and I will be hidden from your presence; I will be a restless wanderer on the earth, and whoever finds me will kill me.” "
"95","Genesis","4","15","But the  Lord  said to him, “Not so ; anyone who kills Cain will suffer vengeance seven times over.” Then the  Lord  put a mark on Cain so that no one who found him would kill him.  "
"96","Genesis","4","16","So Cain went out from the  Lord ’s presence and lived in the land of Nod,  east of Eden. "
"97","Genesis","4","17","Cain made love to his wife, and she became pregnant and gave birth to Enoch. Cain was then building a city, and he named it after his son Enoch.  "
"98","Genesis","4","18","To Enoch was born Irad, and Irad was the father of Mehujael, and Mehujael was the father of Methushael, and Methushael was the father of Lamech. "
"99","Genesis","4","19","Lamech married two women, one named Adah and the other Zillah.  "
"100","Genesis","4","20","Adah gave birth to Jabal; he was the father of those who live in tents and raise livestock.  "
"101","Genesis","4","21","His brother’s name was Jubal; he was the father of all who play stringed instruments and pipes.  "
"102","Genesis","4","22","Zillah also had a son, Tubal-Cain, who forged all kinds of tools out of  bronze and iron. Tubal-Cain’s sister was Naamah. "
"103","Genesis","4","23","Lamech said to his wives, “Adah and Zillah, listen to me; wives of Lamech, hear my words. I have killed a man for wounding me, a young man for injuring me. "
"104","Genesis","4","24","If Cain is avenged seven times, then Lamech seventy-seven times.” "
"105","Genesis","4","25","Adam made love to his wife again, and she gave birth to a son and named him Seth,  saying, “God has granted me another child in place of Abel, since Cain killed him.”  "
"106","Genesis","4","26","Seth also had a son, and he named him Enosh. At that time people began to call on  the name of the  Lord ."
"107","Genesis","5","1","This is the written account of Adam’s family line. When God created mankind, he made them in the likeness of God.  "
"108","Genesis","5","2","He created them male and female and blessed them. And he named them “Mankind”  when they were created. "
"109","Genesis","5","3","When Adam had lived 130 years, he had a son in his own likeness, in his own image; and he named him Seth.  "
"110","Genesis","5","4","After Seth was born, Adam lived 800 years and had other sons and daughters.  "
"111","Genesis","5","5","Altogether, Adam lived a total of 930 years, and then he died. "
"112","Genesis","5","6","When Seth had lived 105 years, he became the father  of Enosh.  "
"113","Genesis","5","7","After he became the father of Enosh, Seth lived 807 years and had other sons and daughters.  "
"114","Genesis","5","8","Altogether, Seth lived a total of 912 years, and then he died. "
"115","Genesis","5","9","When Enosh had lived 90 years, he became the father of Kenan.  "
"116","Genesis","5","10","After he became the father of Kenan, Enosh lived 815 years and had other sons and daughters.  "
"117","Genesis","5","11","Altogether, Enosh lived a total of 905 years, and then he died. "
"118","Genesis","5","12","When Kenan had lived 70 years, he became the father of Mahalalel.  "
"119","Genesis","5","13","After he became the father of Mahalalel, Kenan lived 840 years and had other sons and daughters.  "
"120","Genesis","5","14","Altogether, Kenan lived a total of 910 years, and then he died. "
"121","Genesis","5","15","When Mahalalel had lived 65 years, he became the father of Jared.  "
"122","Genesis","5","16","After he became the father of Jared, Mahalalel lived 830 years and had other sons and daughters.  "
"123","Genesis","5","17","Altogether, Mahalalel lived a total of 895 years, and then he died. "
"124","Genesis","5","18","When Jared had lived 162 years, he became the father of Enoch.  "
"125","Genesis","5","19","After he became the father of Enoch, Jared lived 800 years and had other sons and daughters.  "
"126","Genesis","5","20","Altogether, Jared lived a total of 962 years, and then he died. "
"127","Genesis","5","21","When Enoch had lived 65 years, he became the father of Methuselah.  "
"128","Genesis","5","22","After he became the father of Methuselah, Enoch walked faithfully with God 300 years and had other sons and daughters.  "
"129","Genesis","5","23","Altogether, Enoch lived a total of 365 years.  "
"130","Genesis","5","24","Enoch walked faithfully with God; then he was no more, because God took him away. "
"131","Genesis","5","25","When Methuselah had lived 187 years, he became the father of Lamech.  "
"132","Genesis","5","26","After he became the father of Lamech, Methuselah lived 782 years and had other sons and daughters.  "
"133","Genesis","5","27","Altogether, Methuselah lived a total of 969 years, and then he died. "
"134","Genesis","5","28","When Lamech had lived 182 years, he had a son.  "
"135","Genesis","5","29","He named him Noah  and said, “He will comfort us in the labor and painful toil of our hands caused by the ground the  Lord  has cursed.”  "
"136","Genesis","5","30","After Noah was born, Lamech lived 595 years and had other sons and daughters.  "
"137","Genesis","5","31","Altogether, Lamech lived a total of 777 years, and then he died. "
"138","Genesis","5","32","After Noah was 500 years old, he became the father of Shem, Ham and Japheth."
"139","Genesis","6","1","When human beings began to increase in number on the earth and daughters were born to them,  "
"140","Genesis","6","2","the sons of God saw that the daughters of humans were beautiful, and they married any of them they chose.  "
"141","Genesis","6","3","Then the  Lord  said, “My Spirit will not contend with  humans forever, for they are mortal ; their days will be a hundred and twenty years.” "
"142","Genesis","6","4","The Nephilim were on the earth in those days—and also afterward—when the sons of God went to the daughters of humans and had children by them. They were the heroes of old, men of renown. "
"143","Genesis","6","5","The  Lord  saw how great the wickedness of the human race had become on the earth, and that every inclination of the thoughts of the human heart was only evil all the time.  "
"144","Genesis","6","6","The  Lord  regretted that he had made human beings on the earth, and his heart was deeply troubled.  "
"145","Genesis","6","7","So the  Lord  said, “I will wipe from the face of the earth the human race I have created—and with them the animals, the birds and the creatures that move along the ground—for I regret that I have made them.”  "
"146","Genesis","6","8","But Noah found favor in the eyes of the  Lord . "
"147","Genesis","6","9","This is the account of Noah and his family. Noah was a righteous man, blameless among the people of his time, and he walked faithfully with God.  "
"148","Genesis","6","10","Noah had three sons: Shem, Ham and Japheth. "
"149","Genesis","6","11","Now the earth was corrupt in God’s sight and was full of violence.  "
"150","Genesis","6","12","God saw how corrupt the earth had become, for all the people on earth had corrupted their ways.  "
"151","Genesis","6","13","So God said to Noah, “I am going to put an end to all people, for the earth is filled with violence because of them. I am surely going to destroy both them and the earth.  "
"152","Genesis","6","14","So make yourself an ark of cypress  wood; make rooms in it and coat it with pitch inside and out.  "
"153","Genesis","6","15","This is how you are to build it: The ark is to be three hundred cubits long, fifty cubits wide and thirty cubits high.   "
"154","Genesis","6","16","Make a roof for it, leaving below the roof an opening one cubit  high all around.  Put a door in the side of the ark and make lower, middle and upper decks.  "
"155","Genesis","6","17","I am going to bring floodwaters on the earth to destroy all life under the heavens, every creature that has the breath of life in it. Everything on earth will perish.  "
"156","Genesis","6","18","But I will establish my covenant with you, and you will enter the ark—you and your sons and your wife and your sons’ wives with you.  "
"157","Genesis","6","19","You are to bring into the ark two of all living creatures, male and female, to keep them alive with you.  "
"158","Genesis","6","20","Two of every kind of bird, of every kind of animal and of every kind of creature that moves along the ground will come to you to be kept alive.  "
"159","Genesis","6","21","You are to take every kind of food that is to be eaten and store it away as food for you and for them.” "
"160","Genesis","6","22","Noah did everything just as God commanded him."
"161","Genesis","7","1","The  Lord  then said to Noah, “Go into the ark, you and your whole family, because I have found you righteous in this generation.  "
"162","Genesis","7","2","Take with you seven pairs of every kind of clean animal, a male and its mate, and one pair of every kind of unclean animal, a male and its mate,  "
"163","Genesis","7","3","and also seven pairs of every kind of bird, male and female, to keep their various kinds alive throughout the earth.  "
"164","Genesis","7","4","Seven days from now I will send rain on the earth for forty days and forty nights, and I will wipe from the face of the earth every living creature I have made.” "
"165","Genesis","7","5","And Noah did all that the  Lord  commanded him. "
"166","Genesis","7","6","Noah was six hundred years old when the floodwaters came on the earth.  "
"167","Genesis","7","7","And Noah and his sons and his wife and his sons’ wives entered the ark to escape the waters of the flood.  "
"168","Genesis","7","8","Pairs of clean and unclean animals, of birds and of all creatures that move along the ground,  "
"169","Genesis","7","9","male and female, came to Noah and entered the ark, as God had commanded Noah.  "
"170","Genesis","7","10","And after the seven days the floodwaters came on the earth. "
"171","Genesis","7","11","In the six hundredth year of Noah’s life, on the seventeenth day of the second month—on that day all the springs of the great deep burst forth, and the floodgates of the heavens were opened.  "
"172","Genesis","7","12","And rain fell on the earth forty days and forty nights. "
"173","Genesis","7","13","On that very day Noah and his sons, Shem, Ham and Japheth, together with his wife and the wives of his three sons, entered the ark.  "
"174","Genesis","7","14","They had with them every wild animal according to its kind, all livestock according to their kinds, every creature that moves along the ground according to its kind and every bird according to its kind, everything with wings.  "
"175","Genesis","7","15","Pairs of all creatures that have the breath of life in them came to Noah and entered the ark.  "
"176","Genesis","7","16","The animals going in were male and female of every living thing, as God had commanded Noah. Then the  Lord  shut him in. "
"177","Genesis","7","17","For forty days the flood kept coming on the earth, and as the waters increased they lifted the ark high above the earth.  "
"178","Genesis","7","18","The waters rose and increased greatly on the earth, and the ark floated on the surface of the water.  "
"179","Genesis","7","19","They rose greatly on the earth, and all the high mountains under the entire heavens were covered.  "
"180","Genesis","7","20","The waters rose and covered the mountains to a depth of more than fifteen cubits.   "
"181","Genesis","7","21","Every living thing that moved on land perished—birds, livestock, wild animals, all the creatures that swarm over the earth, and all mankind.  "
"182","Genesis","7","22","Everything on dry land that had the breath of life in its nostrils died.  "
"183","Genesis","7","23","Every living thing on the face of the earth was wiped out; people and animals and the creatures that move along the ground and the birds were wiped from the earth. Only Noah was left, and those with him in the ark. "
"184","Genesis","7","24","The waters flooded the earth for a hundred and fifty days."
"185","Genesis","8","1","But God remembered Noah and all the wild animals and the livestock that were with him in the ark, and he sent a wind over the earth, and the waters receded.  "
"186","Genesis","8","2","Now the springs of the deep and the floodgates of the heavens had been closed, and the rain had stopped falling from the sky.  "
"187","Genesis","8","3","The water receded steadily from the earth. At the end of the hundred and fifty days the water had gone down,  "
"188","Genesis","8","4","and on the seventeenth day of the seventh month the ark came to rest on the mountains of Ararat.  "
"189","Genesis","8","5","The waters continued to recede until the tenth month, and on the first day of the tenth month the tops of the mountains became visible. "
"190","Genesis","8","6","After forty days Noah opened a window he had made in the ark  "
"191","Genesis","8","7","and sent out a raven, and it kept flying back and forth until the water had dried up from the earth.  "
"192","Genesis","8","8","Then he sent out a dove to see if the water had receded from the surface of the ground.  "
"193","Genesis","8","9","But the dove could find nowhere to perch because there was water over all the surface of the earth; so it returned to Noah in the ark. He reached out his hand and took the dove and brought it back to himself in the ark.  "
"194","Genesis","8","10","He waited seven more days and again sent out the dove from the ark.  "
"195","Genesis","8","11","When the dove returned to him in the evening, there in its beak was a freshly plucked olive leaf! Then Noah knew that the water had receded from the earth.  "
"196","Genesis","8","12","He waited seven more days and sent the dove out again, but this time it did not return to him. "
"197","Genesis","8","13","By the first day of the first month of Noah’s six hundred and first year, the water had dried up from the earth. Noah then removed the covering from the ark and saw that the surface of the ground was dry.  "
"198","Genesis","8","14","By the twenty-seventh day of the second month the earth was completely dry. "
"199","Genesis","8","15","Then God said to Noah,  "
"200","Genesis","8","16","“Come out of the ark, you and your wife and your sons and their wives.  "
"201","Genesis","8","17","Bring out every kind of living creature that is with you—the birds, the animals, and all the creatures that move along the ground—so they can multiply on the earth and be fruitful and increase in number on it.” "
"202","Genesis","8","18","So Noah came out, together with his sons and his wife and his sons’ wives.  "
"203","Genesis","8","19","All the animals and all the creatures that move along the ground and all the birds—everything that moves on land—came out of the ark, one kind after another. "
"204","Genesis","8","20","Then Noah built an altar to the  Lord  and, taking some of all the clean animals and clean birds, he sacrificed burnt offerings on it.  "
"205","Genesis","8","21","The  Lord  smelled the pleasing aroma and said in his heart: “Never again will I curse the ground because of humans, even though  every inclination of the human heart is evil from childhood. And never again will I destroy all living creatures, as I have done. "
"206","Genesis","8","22","“As long as the earth endures, seedtime and harvest, cold and heat, summer and winter, day and night will never cease.”"
"207","Genesis","9","1","Then God blessed Noah and his sons, saying to them, “Be fruitful and increase in number and fill the earth.  "
"208","Genesis","9","2","The fear and dread of you will fall on all the beasts of the earth, and on all the birds in the sky, on every creature that moves along the ground, and on all the fish in the sea; they are given into your hands.  "
"209","Genesis","9","3","Everything that lives and moves about will be food for you. Just as I gave you the green plants, I now give you everything. "
"210","Genesis","9","4","“But you must not eat meat that has its lifeblood still in it.  "
"211","Genesis","9","5","And for your lifeblood I will surely demand an accounting. I will demand an accounting from every animal. And from each human being, too, I will demand an accounting for the life of another human being. "
"212","Genesis","9","6","“Whoever sheds human blood, by humans shall their blood be shed; for in the image of God has God made mankind. "
"213","Genesis","9","7","As for you, be fruitful and increase in number; multiply on the earth and increase upon it.” "
"214","Genesis","9","8","Then God said to Noah and to his sons with him:  "
"215","Genesis","9","9","“I now establish my covenant with you and with your descendants after you  "
"216","Genesis","9","10","and with every living creature that was with you—the birds, the livestock and all the wild animals, all those that came out of the ark with you—every living creature on earth.  "
"217","Genesis","9","11","I establish my covenant with you: Never again will all life be destroyed by the waters of a flood; never again will there be a flood to destroy the earth.” "
"218","Genesis","9","12","And God said, “This is the sign of the covenant I am making between me and you and every living creature with you, a covenant for all generations to come:  "
"219","Genesis","9","13","I have set my rainbow in the clouds, and it will be the sign of the covenant between me and the earth.  "
"220","Genesis","9","14","Whenever I bring clouds over the earth and the rainbow appears in the clouds,  "
"221","Genesis","9","15","I will remember my covenant between me and you and all living creatures of every kind. Never again will the waters become a flood to destroy all life.  "
"222","Genesis","9","16","Whenever the rainbow appears in the clouds, I will see it and remember the everlasting covenant between God and all living creatures of every kind on the earth.” "
"223","Genesis","9","17","So God said to Noah, “This is the sign of the covenant I have established between me and all life on the earth.” "
"224","Genesis","9","18","The sons of Noah who came out of the ark were Shem, Ham and Japheth. (Ham was the father of Canaan.)  "
"225","Genesis","9","19","These were the three sons of Noah, and from them came the people who were scattered over the whole earth. "
"226","Genesis","9","20","Noah, a man of the soil, proceeded  to plant a vineyard.  "
"227","Genesis","9","21","When he drank some of its wine, he became drunk and lay uncovered inside his tent.  "
"228","Genesis","9","22","Ham, the father of Canaan, saw his father naked and told his two brothers outside.  "
"229","Genesis","9","23","But Shem and Japheth took a garment and laid it across their shoulders; then they walked in backward and covered their father’s naked body. Their faces were turned the other way so that they would not see their father naked. "
"230","Genesis","9","24","When Noah awoke from his wine and found out what his youngest son had done to him,  "
"231","Genesis","9","25","he said, “Cursed be Canaan! The lowest of slaves will he be to his brothers.” "
"232","Genesis","9","26","He also said, “Praise be to the  Lord , the God of Shem! May Canaan be the slave of Shem. "
"233","Genesis","9","27","May God extend Japheth’s  territory; may Japheth live in the tents of Shem, and may Canaan be the slave of Japheth.” "
"234","Genesis","9","28","After the flood Noah lived 350 years.  "
"235","Genesis","9","29","Noah lived a total of 950 years, and then he died."
"236","Genesis","10","1","This is the account of Shem, Ham and Japheth, Noah’s sons, who themselves had sons after the flood. "
"237","Genesis","10","2","The sons  of Japheth: Gomer, Magog, Madai, Javan, Tubal, Meshek and Tiras. "
"238","Genesis","10","3","The sons of Gomer: Ashkenaz, Riphath and Togarmah. "
"239","Genesis","10","4","The sons of Javan: Elishah, Tarshish, the Kittites and the Rodanites.   "
"240","Genesis","10","5","(From these the maritime peoples spread out into their territories by their clans within their nations, each with its own language.) "
"241","Genesis","10","6","The sons of Ham: Cush, Egypt, Put and Canaan. "
"242","Genesis","10","7","The sons of Cush: Seba, Havilah, Sabtah, Raamah and Sabteka. The sons of Raamah: Sheba and Dedan. "
"243","Genesis","10","8","Cush was the father  of Nimrod, who became a mighty warrior on the earth.  "
"244","Genesis","10","9","He was a mighty hunter before the  Lord ; that is why it is said, “Like Nimrod, a mighty hunter before the  Lord .”  "
"245","Genesis","10","10","The first centers of his kingdom were Babylon, Uruk, Akkad and Kalneh, in  Shinar.   "
"246","Genesis","10","11","From that land he went to Assyria, where he built Nineveh, Rehoboth Ir,  Calah  "
"247","Genesis","10","12","and Resen, which is between Nineveh and Calah—which is the great city. "
"248","Genesis","10","13","Egypt was the father of the Ludites, Anamites, Lehabites, Naphtuhites,  "
"249","Genesis","10","14","Pathrusites, Kasluhites (from whom the Philistines came) and Caphtorites. "
"250","Genesis","10","15","Canaan was the father of Sidon his firstborn,  and of the Hittites,  "
"251","Genesis","10","16","Jebusites, Amorites, Girgashites,  "
"252","Genesis","10","17","Hivites, Arkites, Sinites,  "
"253","Genesis","10","18","Arvadites, Zemarites and Hamathites. Later the Canaanite clans scattered  "
"254","Genesis","10","19","and the borders of Canaan reached from Sidon toward Gerar as far as Gaza, and then toward Sodom, Gomorrah, Admah and Zeboyim, as far as Lasha. "
"255","Genesis","10","20","These are the sons of Ham by their clans and languages, in their territories and nations. "
"256","Genesis","10","21","Sons were also born to Shem, whose older brother was  Japheth; Shem was the ancestor of all the sons of Eber. "
"257","Genesis","10","22","The sons of Shem: Elam, Ashur, Arphaxad, Lud and Aram. "
"258","Genesis","10","23","The sons of Aram: Uz, Hul, Gether and Meshek. "
"259","Genesis","10","24","Arphaxad was the father of  Shelah, and Shelah the father of Eber. "
"260","Genesis","10","25","Two sons were born to Eber: One was named Peleg,  because in his time the earth was divided; his brother was named Joktan. "
"261","Genesis","10","26","Joktan was the father of Almodad, Sheleph, Hazarmaveth, Jerah,  "
"262","Genesis","10","27","Hadoram, Uzal, Diklah,  "
"263","Genesis","10","28","Obal, Abimael, Sheba,  "
"264","Genesis","10","29","Ophir, Havilah and Jobab. All these were sons of Joktan. "
"265","Genesis","10","30","The region where they lived stretched from Mesha toward Sephar, in the eastern hill country. "
"266","Genesis","10","31","These are the sons of Shem by their clans and languages, in their territories and nations. "
"267","Genesis","10","32","These are the clans of Noah’s sons, according to their lines of descent, within their nations. From these the nations spread out over the earth after the flood."
"268","Genesis","11","1","Now the whole world had one language and a common speech.  "
"269","Genesis","11","2","As people moved eastward,  they found a plain in Shinar  and settled there. "
"270","Genesis","11","3","They said to each other, “Come, let’s make bricks and bake them thoroughly.” They used brick instead of stone, and tar for mortar.  "
"271","Genesis","11","4","Then they said, “Come, let us build ourselves a city, with a tower that reaches to the heavens, so that we may make a name for ourselves; otherwise we will be scattered over the face of the whole earth.” "
"272","Genesis","11","5","But the  Lord  came down to see the city and the tower the people were building.  "
"273","Genesis","11","6","The  Lord  said, “If as one people speaking the same language they have begun to do this, then nothing they plan to do will be impossible for them.  "
"274","Genesis","11","7","Come, let us go down and confuse their language so they will not understand each other.” "
"275","Genesis","11","8","So the  Lord  scattered them from there over all the earth, and they stopped building the city.  "
